sku,name,unit,price
SAM-0001,Саморез по дереву 3.5х25 (уп. 200 шт),уп,607.94
SAM-0002,Саморез по дереву 3.5х25 (уп. 1000 шт),уп,110.26
SAM-0003,Саморез по дереву 3.5х25 (кг),кг,312.77
SAM-0004,Саморез по дереву 3.5х35 (уп. 200 шт),уп,270.80
SAM-0005,Саморез по дереву 3.5х35 (уп. 1000 шт),уп,686.54
SAM-0006,Саморез по дереву 3.5х35 (кг),кг,638.13
SAM-0007,Саморез по дереву 3.5х41 (уп. 200 шт),уп,812.67
SAM-0008,Саморез по дереву 3.5х41 (уп. 1000 шт),уп,160.42
SAM-0009,Саморез по дереву 3.5х41 (кг),кг,431.76
SAM-0010,Саморез по дереву 3.5х45 (уп. 200 шт),уп,114.14
SAM-0011,Саморез по дереву 3.5х45 (уп. 1000 шт),уп,267.10
SAM-0012,Саморез по дереву 3.5х45 (кг),кг,499.34
SAM-0013,Саморез по дереву 3.5х51 (уп. 200 шт),уп,111.49
SAM-0014,Саморез по дереву 3.5х51 (уп. 1000 шт),уп,251.06
SAM-0015,Саморез по дереву 3.5х51 (кг),кг,616.41
SAM-0016,Саморез по дереву 4.2х51 (уп. 200 шт),уп,531.40
SAM-0017,Саморез по дереву 4.2х51 (уп. 1000 шт),уп,268.56
SAM-0018,Саморез по дереву 4.2х51 (кг),кг,567.31
SAM-0019,Саморез по дереву 4.2х65 (уп. 200 шт),уп,745.64
SAM-0020,Саморез по дереву 4.2х65 (уп. 1000 шт),уп,95.26
SAM-0021,Саморез по дереву 4.2х65 (кг),кг,742.71
SAM-0022,Саморез по дереву 4.2х75 (уп. 200 шт),уп,655.49
SAM-0023,Саморез по дереву 4.2х75 (уп. 1000 шт),уп,365.60
SAM-0024,Саморез по дереву 4.2х75 (кг),кг,215.94
SAM-0025,Саморез по дереву 4.2х90 (уп. 200 шт),уп,865.34
SAM-0026,Саморез по дереву 4.2х90 (уп. 1000 шт),уп,362.64
SAM-0027,Саморез по дереву 4.2х90 (кг),кг,165.12
SAM-0028,Саморез по дереву 4.8х102 (уп. 200 шт),уп,168.34
SAM-0029,Саморез по дереву 4.8х102 (уп. 1000 шт),уп,776.47
SAM-0030,Саморез по дереву 4.8х102 (кг),кг,579.02
SAM-0031,Саморез по дереву 4.8х127 (уп. 200 шт),уп,743.77
SAM-0032,Саморез по дереву 4.8х127 (уп. 1000 шт),уп,681.08
SAM-0033,Саморез по дереву 4.8х127 (кг),кг,524.34
SAM-0034,Саморез по дереву 4.8х152 (уп. 200 шт),уп,878.22
SAM-0035,Саморез по дереву 4.8х152 (уп. 1000 шт),уп,396.61
SAM-0036,Саморез по дереву 4.8х152 (кг),кг,537.15
SAM-0037,Саморез по металлу со сверлом 4.2х13 (уп. 200 шт),уп,806.70
SAM-0038,Саморез по металлу со сверлом 4.2х13 (уп. 1000 шт),уп,629.56
SAM-0039,Саморез по металлу со сверлом 4.2х13 (кг),кг,833.83
SAM-0040,Саморез по металлу со сверлом 4.2х16 (уп. 200 шт),уп,594.98
SAM-0041,Саморез по металлу со сверлом 4.2х16 (уп. 1000 шт),уп,701.84
SAM-0042,Саморез по металлу со сверлом 4.2х16 (кг),кг,148.49
SAM-0043,Саморез по металлу со сверлом 4.2х19 (уп. 200 шт),уп,301.43
SAM-0044,Саморез по металлу со сверлом 4.2х19 (уп. 1000 шт),уп,353.09
SAM-0045,Саморез по металлу со сверлом 4.2х19 (кг),кг,177.03
SAM-0046,Саморез по металлу со сверлом 4.2х25 (уп. 200 шт),уп,305.54
SAM-0047,Саморез по металлу со сверлом 4.2х25 (уп. 1000 шт),уп,194.84
SAM-0048,Саморез по металлу со сверлом 4.2х25 (кг),кг,343.50
SAM-0049,Саморез по металлу со сверлом 4.2х32 (уп. 200 шт),уп,643.97
SAM-0050,Саморез по металлу со сверлом 4.2х32 (уп. 1000 шт),уп,416.46
SAM-0051,Саморез по металлу со сверлом 4.2х32 (кг),кг,420.95
SAM-0052,Саморез по металлу со сверлом 4.8х19 (уп. 200 шт),уп,285.99
SAM-0053,Саморез по металлу со сверлом 4.8х19 (уп. 1000 шт),уп,334.26
SAM-0054,Саморез по металлу со сверлом 4.8х19 (кг),кг,896.79
SAM-0055,Саморез по металлу со сверлом 4.8х25 (уп. 200 шт),уп,654.35
SAM-0056,Саморез по металлу со сверлом 4.8х25 (уп. 1000 шт),уп,621.67
SAM-0057,Саморез по металлу со сверлом 4.8х25 (кг),кг,253.76
SAM-0058,Саморез по металлу со сверлом 4.8х38 (уп. 200 шт),уп,722.47
SAM-0059,Саморез по металлу со сверлом 4.8х38 (уп. 1000 шт),уп,247.26
SAM-0060,Саморез по металлу со сверлом 4.8х38 (кг),кг,428.74
SAM-0061,Саморез ГКЛ гипсокартон-металл 3.5х25 (уп. 200 шт),уп,693.50
SAM-0062,Саморез ГКЛ гипсокартон-металл 3.5х25 (уп. 1000 шт),уп,476.80
SAM-0063,Саморез ГКЛ гипсокартон-металл 3.5х25 (кг),кг,425.31
SAM-0064,Саморез ГКЛ гипсокартон-металл 3.5х35 (уп. 200 шт),уп,504.46
SAM-0065,Саморез ГКЛ гипсокартон-металл 3.5х35 (уп. 1000 шт),уп,602.57
SAM-0066,Саморез ГКЛ гипсокартон-металл 3.5х35 (кг),кг,561.12
SAM-0067,Саморез ГКЛ гипсокартон-металл 3.5х45 (уп. 200 шт),уп,222.01
SAM-0068,Саморез ГКЛ гипсокартон-металл 3.5х45 (уп. 1000 шт),уп,99.90
SAM-0069,Саморез ГКЛ гипсокартон-металл 3.5х45 (кг),кг,275.58
SAM-0070,Саморез ГКЛ гипсокартон-металл 3.5х55 (уп. 200 шт),уп,246.00
SAM-0071,Саморез ГКЛ гипсокартон-металл 3.5х55 (уп. 1000 шт),уп,210.81
SAM-0072,Саморез ГКЛ гипсокартон-металл 3.5х55 (кг),кг,664.60
SAM-0073,Саморез ГКЛ гипсокартон-металл 3.9х25 (уп. 200 шт),уп,623.35
SAM-0074,Саморез ГКЛ гипсокартон-металл 3.9х25 (уп. 1000 шт),уп,275.10
SAM-0075,Саморез ГКЛ гипсокартон-металл 3.9х25 (кг),кг,486.37
SAM-0076,Саморез ГКЛ гипсокартон-металл 3.9х35 (уп. 200 шт),уп,325.29
SAM-0077,Саморез ГКЛ гипсокартон-металл 3.9х35 (уп. 1000 шт),уп,647.02
SAM-0078,Саморез ГКЛ гипсокартон-металл 3.9х35 (кг),кг,364.49
SAM-0079,Саморез ГКЛ гипсокартон-металл 3.9х45 (уп. 200 шт),уп,244.23
SAM-0080,Саморез ГКЛ гипсокартон-металл 3.9х45 (уп. 1000 шт),уп,232.91
SAM-0081,Саморез ГКЛ гипсокартон-металл 3.9х45 (кг),кг,428.05
SAM-0082,Саморез ГКЛ гипсокартон-дерево 3.9х25 (уп. 200 шт),уп,242.90
SAM-0083,Саморез ГКЛ гипсокартон-дерево 3.9х25 (уп. 1000 шт),уп,442.44
SAM-0084,Саморез ГКЛ гипсокартон-дерево 3.9х25 (кг),кг,636.65
SAM-0085,Саморез ГКЛ гипсокартон-дерево 3.9х35 (уп. 200 шт),уп,327.63
SAM-0086,Саморез ГКЛ гипсокартон-дерево 3.9х35 (уп. 1000 шт),уп,215.98
SAM-0087,Саморез ГКЛ гипсокартон-дерево 3.9х35 (кг),кг,698.47
SAM-0088,Саморез ГКЛ гипсокартон-дерево 3.9х45 (уп. 200 шт),уп,395.91
SAM-0089,Саморез ГКЛ гипсокартон-дерево 3.9х45 (уп. 1000 шт),уп,136.36
SAM-0090,Саморез ГКЛ гипсокартон-дерево 3.9х45 (кг),кг,109.21
TRB-0001,Труба профильная 15х15х1.5 мм (хлыст 6 м),шт,1335.96
TRB-0002,Труба профильная 20х20х1.5 мм (хлыст 6 м),шт,4339.19
TRB-0003,Труба профильная 20х20х2 мм (хлыст 6 м),шт,5294.06
TRB-0004,Труба профильная 20х40х1.5 мм (хлыст 6 м),шт,3148.53
TRB-0005,Труба профильная 20х40х2 мм (хлыст 6 м),шт,1068.46
TRB-0006,Труба профильная 25х25х1.5 мм (хлыст 6 м),шт,2913.39
TRB-0007,Труба профильная 25х25х2 мм (хлыст 6 м),шт,6477.50
TRB-0008,Труба профильная 30х30х2 мм (хлыст 6 м),шт,3768.86
TRB-0009,Труба профильная 40х40х2 мм (хлыст 6 м),шт,6332.25
TRB-0010,Труба профильная 40х40х3 мм (хлыст 6 м),шт,5692.52
TRB-0011,Труба профильная 40х60х2 мм (хлыст 6 м),шт,766.59
TRB-0012,Труба профильная 40х60х3 мм (хлыст 6 м),шт,4880.19
TRB-0013,Труба профильная 50х50х2 мм (хлыст 6 м),шт,4653.92
TRB-0014,Труба профильная 50х50х3 мм (хлыст 6 м),шт,3814.43
TRB-0015,Труба профильная 60х60х2 мм (хлыст 6 м),шт,2247.59
TRB-0016,Труба профильная 60х60х3 мм (хлыст 6 м),шт,4417.58
TRB-0017,Труба профильная 80х80х3 мм (хлыст 6 м),шт,1347.00
TRB-0018,Труба профильная 100х100х3 мм (хлыст 6 м),шт,3221.64
TRB-0019,Труба профильная 100х100х4 мм (хлыст 6 м),шт,3331.60
KAB-0001,Кабель ВВГнг 2х1.5,м,306.61
KAB-0002,Кабель ВВГнг 3х1.5,м,284.00
KAB-0003,Кабель ВВГнг 3х2.5,м,106.38
KAB-0004,Кабель ВВГнг 3х4,м,175.17
KAB-0005,Кабель ВВГнг 3х6,м,81.81
KAB-0006,Кабель ВВГнг 5х1.5,м,294.66
KAB-0007,Кабель ВВГнг 5х2.5,м,282.45
KAB-0008,Кабель ВВГнг 5х4,м,116.55
KAB-0009,Кабель ВВГнг(А)-LS 2х1.5,м,215.30
KAB-0010,Кабель ВВГнг(А)-LS 3х1.5,м,206.60
KAB-0011,Кабель ВВГнг(А)-LS 3х2.5,м,74.32
KAB-0012,Кабель ВВГнг(А)-LS 3х4,м,251.13
KAB-0013,Кабель ВВГнг(А)-LS 3х6,м,186.42
KAB-0014,Кабель ВВГнг(А)-LS 5х1.5,м,255.80
KAB-0015,Кабель ВВГнг(А)-LS 5х2.5,м,183.80
KAB-0016,Кабель ВВГнг(А)-LS 5х4,м,30.17
KAB-0017,Кабель ШВВП 2х0.5,м,25.13
KAB-0018,Кабель ШВВП 2х0.75,м,18.43
KAB-0019,Кабель ПВС 2х0.75,м,85.39
KAB-0020,Кабель ПВС 2х1.5,м,82.12
KAB-0021,Кабель ПВС 3х0.75,м,79.06
KAB-0022,Кабель ПВС 3х1.5,м,44.99
KAB-0023,Кабель ПВС 3х2.5,м,28.77
KAB-0024,Провод ПуГВ 1х1.5 красный,м,71.70
KAB-0025,Провод ПуГВ 1х1.5 синий,м,76.39
KAB-0026,Провод ПуГВ 1х2.5 красный,м,17.82
KAB-0027,Провод ПуГВ 1х2.5 синий,м,45.05
KAB-0028,Провод ПуГВ 1х4 красный,м,16.71
KAB-0029,Провод ПуГВ 1х4 синий,м,63.72
KAB-0030,Провод ПуГВ 1х6 красный,м,64.08
KAB-0031,Провод ПуГВ 1х6 синий,м,20.73
KAB-0032,Провод ПуГВ 1х10 красный,м,44.32
KAB-0033,Провод ПуГВ 1х10 синий,м,49.39
BIT-0001,Бита PH1 25 мм,шт,94.64
BIT-0002,Бита PH1 50 мм,шт,231.30
BIT-0003,Бита PH1 90 мм,шт,130.21
BIT-0004,Бита PH2 25 мм,шт,82.65
BIT-0005,Бита PH2 50 мм,шт,156.34
BIT-0006,Бита PH2 90 мм,шт,199.23
BIT-0007,Бита PH3 25 мм,шт,80.26
BIT-0008,Бита PH3 50 мм,шт,105.14
BIT-0009,Бита PH3 90 мм,шт,258.91
BIT-0010,Бита PZ1 25 мм,шт,181.22
BIT-0011,Бита PZ1 50 мм,шт,133.57
BIT-0012,Бита PZ1 90 мм,шт,151.45
BIT-0013,Бита PZ2 25 мм,шт,62.23
BIT-0014,Бита PZ2 50 мм,шт,85.56
BIT-0015,Бита PZ2 90 мм,шт,111.07
BIT-0016,Бита PZ3 25 мм,шт,167.37
BIT-0017,Бита PZ3 50 мм,шт,86.78
BIT-0018,Бита PZ3 90 мм,шт,84.55
BIT-0019,Бита T15 25 мм,шт,50.97
BIT-0020,Бита T15 50 мм,шт,177.00
BIT-0021,Бита T15 90 мм,шт,86.51
BIT-0022,Бита T20 25 мм,шт,238.72
BIT-0023,Бита T20 50 мм,шт,228.42
BIT-0024,Бита T20 90 мм,шт,50.94
BIT-0025,Бита T25 25 мм,шт,88.55
BIT-0026,Бита T25 50 мм,шт,185.52
BIT-0027,Бита T25 90 мм,шт,83.20
BIT-0028,Бита T30 25 мм,шт,64.77
BIT-0029,Бита T30 50 мм,шт,245.49
BIT-0030,Бита T30 90 мм,шт,163.48
BIT-0031,Бита SL5.5 25 мм,шт,141.35
BIT-0032,Бита SL5.5 50 мм,шт,211.54
BIT-0033,Бита SL5.5 90 мм,шт,216.69
BIT-0034,Держатель бит магнитный 60 мм,шт,163.79
BIT-0035,Держатель бит магнитный 150 мм,шт,176.17
BIT-0036,Адаптер для бит с ограничителем,шт,296.38
BIT-0037,Сверло по металлу HSS 2.0 мм,шт,313.80
BIT-0038,Сверло по металлу HSS 2.5 мм,шт,342.91
BIT-0039,Сверло по металлу HSS 3.0 мм,шт,518.48
BIT-0040,Сверло по металлу HSS 3.5 мм,шт,481.15
BIT-0041,Сверло по металлу HSS 4.0 мм,шт,689.39
BIT-0042,Сверло по металлу HSS 4.5 мм,шт,95.94
BIT-0043,Сверло по металлу HSS 5.0 мм,шт,299.76
BIT-0044,Сверло по металлу HSS 5.5 мм,шт,257.33
BIT-0045,Сверло по металлу HSS 6.0 мм,шт,607.32
BIT-0046,Сверло по металлу HSS 6.5 мм,шт,196.60
BIT-0047,Сверло по металлу HSS 7.0 мм,шт,157.44
BIT-0048,Сверло по металлу HSS 7.5 мм,шт,330.57
BIT-0049,Сверло по металлу HSS 8.0 мм,шт,312.66
BIT-0050,Сверло по металлу HSS 8.5 мм,шт,216.63
BIT-0051,Сверло по металлу HSS 9.0 мм,шт,197.37
BIT-0052,Сверло по металлу HSS 9.5 мм,шт,648.59
BIT-0053,Сверло по металлу HSS 10.0 мм,шт,326.90
BIT-0054,Сверло по металлу HSS 10.5 мм,шт,607.10
BIT-0055,Сверло по металлу HSS 11.0 мм,шт,398.72
BIT-0056,Сверло по металлу HSS 11.5 мм,шт,63.89
BIT-0057,Сверло по металлу HSS 12.0 мм,шт,699.52
BIT-0058,Сверло по металлу HSS 12.5 мм,шт,590.14
BIT-0059,Сверло по металлу HSS 13.0 мм,шт,679.23
BIT-0060,Сверло по дереву 3 мм,шт,280.86
BIT-0061,Сверло по дереву 4 мм,шт,260.66
BIT-0062,Сверло по дереву 5 мм,шт,83.24
BIT-0063,Сверло по дереву 6 мм,шт,166.27
BIT-0064,Сверло по дереву 8 мм,шт,95.57
BIT-0065,Сверло по дереву 10 мм,шт,144.27
BIT-0066,Сверло по дереву 12 мм,шт,55.25
BIT-0067,Сверло по бетону 4 мм,шт,152.32
BIT-0068,Сверло по бетону 5 мм,шт,316.03
BIT-0069,Сверло по бетону 6 мм,шт,121.60
BIT-0070,Сверло по бетону 8 мм,шт,261.70
BIT-0071,Сверло по бетону 10 мм,шт,172.85
BIT-0072,Сверло по бетону 12 мм,шт,164.21
BIT-0073,Бур SDS-plus 5х110,шт,578.23
BIT-0074,Бур SDS-plus 6х110,шт,597.67
BIT-0075,Бур SDS-plus 6х160,шт,373.44
BIT-0076,Бур SDS-plus 6х210,шт,456.39
BIT-0077,Бур SDS-plus 8х160,шт,168.95
BIT-0078,Бур SDS-plus 8х210,шт,241.32
BIT-0079,Бур SDS-plus 10х160,шт,584.04
BIT-0080,Бур SDS-plus 10х210,шт,385.38
BIT-0081,Бур SDS-plus 10х260,шт,366.52
BIT-0082,Бур SDS-plus 12х260,шт,471.47
BIT-0083,Бур SDS-plus 14х260,шт,119.15
DSK-0001,Диск отрезной по металлу 115х1.0х22.2,шт,170.60
DSK-0002,Диск отрезной по металлу 115х1.2х22.2,шт,153.11
DSK-0003,Диск отрезной по металлу 125х1.0х22.2,шт,228.33
DSK-0004,Диск отрезной по металлу 125х1.2х22.2,шт,78.85
DSK-0005,Диск отрезной по металлу 125х1.6х22.2,шт,251.57
DSK-0006,Диск отрезной по металлу 150х1.6х22.2,шт,62.22
DSK-0007,Диск отрезной по металлу 180х1.6х22.2,шт,84.95
DSK-0008,Диск отрезной по металлу 180х2.0х22.2,шт,172.93
